ACTA_NUMERO|ACTA_ANIO
1112|2024
1468|2024
1530|2024
1896|2024
2352|2024
2398|2024
2440|2024
2458|2024
2587|2024
2599|2024
2644|2024
2707|2024
2762|2024
2810|2024
2812|2024
2862|2024
2890|2024
2917|2024
2956|2024
3018|2024
3037|2024
3161|2024
3214|2024
3298|2024
3539|2024
3564|2024
3598|2024
3887|2024
3901|2024
3923|2024
3940|2024
4102|2024
4177|2024
4575|2024
4749|2024
4800|2024
4937|2024
5284|2024
5366|2024
5371|2024
5383|2024
5418|2024
5506|2024
5539|2024
5651|2024
5737|2024
5764|2024
5791|2024
5929|2024
5934|2024
6087|2024
6117|2024
6163|2024
6182|2024
6513|2024
6666|2024
6673|2024
6757|2024
6781|2024
6792|2024
6797|2024
6817|2024
6884|2024
6892|2024
6918|2024
6921|2024
6932|2024
6946|2024
6949|2024
7320|2024
7427|2024
7467|2024
7470|2024
7507|2024
7531|2024
7546|2024
7549|2024
7657|2024
7850|2024
7872|2024
8013|2024
8017|2024
8100|2024
8491|2024
8522|2024
8548|2024
8596|2024
8638|2024
8643|2024
8737|2024
8790|2024
8869|2024
8915|2024
8939|2024
8983|2024
8998|2024
9013|2024
9133|2024
9280|2024
9323|2024
9425|2024
9430|2024
9554|2024
9561|2024
9589|2024
9606|2024
9677|2024
9702|2024
9721|2024
9729|2024
9848|2024
9949|2024
9992|2024
10053|2024
10131|2024
10138|2024
10396|2024
10504|2024
10693|2024
10751|2024
11028|2024
11447|2024
13473|2024
14088|2024
14359|2024
15400|2024
16294|2024
16422|2024
17165|2024
18458|2024
19639|2024
19646|2024
19649|2024
19652|2024
19659|2024
19662|2024
19671|2024
19672|2024
19697|2024
19703|2024
19717|2024
19721|2024
19769|2024
19842|2024
19849|2024
19883|2024
19890|2024
19891|2024
19907|2024
20006|2024
20009|2024
20034|2024
20036|2024
20069|2024
20074|2024
20080|2024
20086|2024
20121|2024
20124|2024
20171|2024
20174|2024
20180|2024
20197|2024
20256|2024
20304|2024
20331|2024
20351|2024
20358|2024
20363|2024
20366|2024
20371|2024
20373|2024
20382|2024
20391|2024
20392|2024
20400|2024
20456|2024
20481|2024
20502|2024
20530|2024
20737|2024
20970|2024
20982|2024
21032|2024
21033|2024
21048|2024
21690|2024
21834|2024
21869|2024
24202|2024
24742|2024
25527|2024
25889|2024
26408|2024
26994|2024
29643|2024
32039|2024
32059|2024
32096|2024
32126|2024
32160|2024
32195|2024
32251|2024
32263|2024
32290|2024
32300|2024
32330|2024
32334|2024
32376|2024
32401|2024
32403|2024
32415|2024
32419|2024
32446|2024
32459|2024
32465|2024
32466|2024
32545|2024
32553|2024
32560|2024
32594|2024
32605|2024
32608|2024
32619|2024
32623|2024
32633|2024
32646|2024
32653|2024
32662|2024
32681|2024
32684|2024
32734|2024
32780|2024
32782|2024
32799|2024
32881|2024
32900|2024
32908|2024
32940|2024
33680|2024
35332|2024
37865|2024
38087|2024
38984|2024
39957|2024
39979|2024
41024|2024
41618|2024
43870|2024
45200|2024
46090|2024
52429|2024
54273|2024
54999|2024
55155|2024
55558|2024
55789|2024
58322|2024
59343|2024
61456|2024
67518|2024
68365|2024
70144|2024
77450|2024
78811|2025
85481|2024
90555|2024
93640|2024
100535|2025
105661|2025
106185|2025
107327|2025
108763|2025
109821|2025
112618|2025
115531|2025
116344|2025
120446|2025
124442|2025
125048|2025
129464|2025
130018|2025
131441|2025
132677|2025
133165|2025
137511|2025
141733|2025
141997|2025
144782|2025
151267|2025
154620|2025
158823|2025
159977|2025
160759|2025
165104|2025
170454|2025
171060|2025
180240|2025
183984|2025
190173|2025
195844|2025
203382|2025
206595|2025
208071|2025
215189|2025
218051|2025
223428|2025
238150|2025
243893|2025
245927|2025
