ACTA_NUMERO|ANIO
10060|2024
3033|2024
4647|2024
5942|2024
6156|2024
5329|2024
5591|2024
9497|2024
10191|2024
28879|2024
27546|2024
26936|2024
26344|2024
26071|2024
20921|2024
21772|2024
22464|2024
23214|2024
24077|2024
25052|2024
29412|2024
2097|2024
2108|2024
2123|2024
2941|2024
2946|2024
2957|2024
2970|2024
2984|2024
2989|2024
3024|2024
3028|2024
3030|2024
3034|2024
2176|2024
3040|2024
3066|2024
3083|2024
3088|2024
3093|2024
3106|2024
3108|2024
3128|2024
3133|2024
3150|2024
3168|2024
3204|2024
3227|2024
3231|2024
3246|2024
3247|2024
3285|2024
3295|2024
3301|2024
3316|2024
3345|2024
3347|2024
3371|2024
2200|2024
2205|2024
3389|2024
3399|2024
3401|2024
3409|2024
3412|2024
3425|2024
3429|2024
3437|2024
3441|2024
9403|2024
3455|2024
3488|2024
3496|2024
3510|2024
3520|2024
3534|2024
3538|2024
3548|2024
3566|2024
3570|2024
3596|2024
3621|2024
3635|2024
2224|2024
2228|2024
2297|2024
2302|2024
2308|2024
2309|2024
2313|2024
2341|2024
2360|2024
2363|2024
2390|2024
2395|2024
2396|2024
2409|2024
2411|2024
2424|2024
2447|2024
2451|2024
2456|2024
2483|2024
2504|2024
2524|2024
2532|2024
2536|2024
2620|2024
2637|2024
2709|2024
2734|2024
2750|2024
2751|2024
2765|2024
2779|2024
2831|2024
2842|2024
2854|2024
2866|2024
2877|2024
2896|2024
2921|2024
3845|2024
3865|2024
3920|2024
3946|2024
3957|2024
3984|2024
4000|2024
4021|2024
4056|2024
4068|2024
4080|2024
4096|2024
4097|2024
4153|2024
4171|2024
4174|2024
4202|2024
4242|2024
4243|2024
4249|2024
4281|2024
4289|2024
4360|2024
3679|2024
4378|2024
4415|2024
4422|2024
4456|2024
3699|2024
4465|2024
4477|2024
4496|2024
4506|2024
4513|2024
4533|2024
4542|2024
4589|2024
4597|2024
4680|2024
4681|2024
4683|2024
4703|2024
4734|2024
4744|2024
4762|2024
4787|2024
4828|2024
4878|2024
4934|2025
4964|2025
4966|2025
4975|2025
4981|2025
4996|2025
5047|2025
5055|2025
5060|2025
5069|2025
5070|2025
5072|2025
5093|2025
5183|2025
5184|2025
5187|2025
5231|2025
5237|2025
5280|2025
5305|2025
5318|2025
5330|2025
5340|2025
5342|2025
5423|2025
5538|2025
5548|2025
5608|2025
5710|2025
5720|2025
5726|2025
5820|2025
5833|2025
5835|2025
5870|2025
5879|2025
5890|2025
5976|2025
5987|2025
5995|2025
6039|2025
6042|2025
6056|2025
6093|2025
6664|2025
6675|2025
6853|2025
6860|2025
6887|2025
6950|2025
7107|2025
7120|2025
7245|2025
7267|2025
7274|2025
7372|2025
20693|2025
22173|2025
25827|2025
26750|2025
55787|2025
43189|2025
45912|2025
76481|2025
76914|2025
85732|2025
86360|2025
89068|2025
89662|2025
96603|2025
97042|2025
98862|2025
99398|2025
108525|2025
108989|2025
118847|2025
120027|2025
122163|2025
190|2024
169|2024
1390|2024
172|2024
195|2024
11702|2024
645|2024
50739|2024
638|2024
635|2024
631|2024
591|2024
766|2024
779|2024
780|2024
881|2024
900|2024
819|2024
822|2024
824|2024
903|2024
829|2024
832|2024
880|2024
973|2024
909|2024
912|2024
913|2024
988|2024
1001|2024
1027|2024
1028|2024
1033|2024
1040|2024
1041|2024
1077|2024
1149|2024
1159|2024
1171|2024
1173|2024
1020|2024
741|2024
1184|2024
1124|2024
1135|2024
1219|2024
1224|2024
1225|2024
1233|2024
1265|2024
1269|2024
1271|2024
1286|2024
11560|2025
11597|2025
11624|2025
11760|2025
11869|2025
11889|2025
11913|2025
11915|2025
12067|2025
12068|2025
12141|2025
12178|2025
12212|2025
12217|2025
12222|2025
12344|2025
12278|2025
12389|2025
12428|2025
12450|2025
12483|2025
12488|2025
12504|2025
12517|2025
12521|2025
12524|2025
12526|2025
12583|2025
12625|2025
12775|2025
12892|2025
12976|2025
13009|2025
13069|2025
13096|2025
13122|2025
13185|2025
13261|2025
13662|2025
13694|2025
853|2024
3129|2024
