ACTA_NUMERO | ESTADO_SIGEMI | ESTADO_SEMYT | ESTADO_SIGI
2976 | VENCIDA JUICIO | PAGADA | PAGADA
3273 | VENCIDA JUICIO | PAGADA | PAGADA
3288 | VENCIDA JUICIO | RECHAZADA | NO CARGADA EN SIGI
3327 | VENCIDA JUICIO | PAGADA | PAGADA
3330 | VENCIDA JUICIO | PAGADA | PAGADA
3337 | VENCIDA JUICIO | PAGADA | PAGADA
2199 | VENCIDA JUICIO | PAGADA | PAGADA
3427 | VENCIDA JUICIO | PAGADA | PAGADA
3484 | VENCIDA JUICIO | PAGADA | VENCIDA CON SENTENCIA EN SIGI
2221 | VENCIDA JUICIO | PAGADA | PAGADA
2229 | VENCIDA JUICIO | PAGADA | PAGADA
2282 | VENCIDA JUICIO | RECHAZADA | NO CARGADA EN SIGI
2557 | VENCIDA JUICIO | PAGADA | PAGADA
2723 | VENCIDA JUICIO | PAGADA | PAGADA
2773 | VENCIDA JUICIO | PAGADA | PAGADA
2872 | VENCIDA JUICIO | RECHAZADA | NO CARGADA EN SIGI
2916 | VENCIDA JUICIO | PAGADA | PAGADA
3966 | VENCIDA JUICIO | PAGADA | PAGADA
4033 | VENCIDA JUICIO | RECHAZADA | NO CARGADA EN SIGI
4058 | VENCIDA JUICIO | RECHAZADA | NO CARGADA EN SIGI
4213 | VENCIDA JUICIO | PAGADA | PAGADA
4214 | VENCIDA JUICIO | PAGADA | PAGADA
4266 | VENCIDA JUICIO | PAGADA | PAGADA
4402 | VENCIDA JUICIO | RESUELTA EN JUZGADO | NO CARGADA EN SIGI
5135 | VENCIDA JUICIO | PAGADA | PAGADA
5483 | VENCIDA JUICIO | PAGADA | PAGADA
5634 | VENCIDA JUICIO | PAGADA | PAGADA
5935 | VENCIDA JUICIO | RECHAZADA | NO CARGADA EN SIGI
6019 | VENCIDA JUICIO | PAGADA | PAGADA
6878 | VENCIDA JUICIO | RECHAZADA | VENCIDA EN SIGI (DESESTIMAR EN SIGEMI Y SIGI)
78 | VENCIDA JUICIO | PAGADA | PAGADA
130 | VENCIDA JUICIO | PAGADA | PAGADA
1325 | VENCIDA JUICIO | PAGADA | PAGADA
12151 | VENCIDA JUICIO | PAGADA | PAGADA
12362 | VENCIDA JUICIO | PAGADA | PAGADA
16934 | VENCIDA JUICIO | PAGADA | PAGADA
658 | VENCIDA JUICIO | PAGADA | PAGADA
643 | VENCIDA JUICIO | PAGADA | PAGADA
758 | VENCIDA JUICIO | RECHAZADA | NO CARGADA EN SIGI
759 | VENCIDA JUICIO | PAGADA | PAGADA
902 | VENCIDA JUICIO | PAGADA | PAGADA
971 | VENCIDA JUICIO | PAGADA | PAGADA
1025 | VENCIDA JUICIO | RECHAZADA | NO CARGADA EN SIGI
1154 | VENCIDA JUICIO | PAGADA | PAGADA
1248 | VENCIDA JUICIO | PAGADA | PAGADA
1276 | VENCIDA JUICIO | PAGADA | PAGADA
1298 | VENCIDA JUICIO | PAGADA | PAGADA
12111 | VENCIDA JUICIO | PAGADA | PAGADA
12820 | VENCIDA JUICIO | PAGADA | PAGADA
13459 | VENCIDA JUICIO | PAGADA | PAGADA
13675 | VENCIDA JUICIO | PAGADA | PAGADA
32041 | VENCIDA JUICIO PLAN DE PAGO | PAGADA |  VENCIDA EN SIGI
