JUZGADO|ANIO|NUMERO|FECHA_ALTA|CAUSA_TIPO|LEY|TIPO|GRADO|ALERTA|OFICINA_INT_CODIGO|OFICINA_INT_DESC|SECRETARIA|ESTADO_ACTUAL|ESTADO_DESCRIPCION|ESTADO_FECHA|CAUSA_PADRE|VINCULACION_FECHA|TT2A300_ID|TT2A300_TT2A300_ID|INSPECTOR_NOMBRE|ACTA_ANIO|ACTA_OFICINA|ACTA_NUMERO|LABRADA_FECHA|ACTA_TIPO|ACTA_LEY|ACTA_GRADO|INSPECTOR_LEGAJO|ACTA_TT2A300_ID|TT2A200_ID
1|2024|865627|22/8/24|Tr�nsito|||LEVE|Juicio 000000141555 Saldo: $62.400,80|||||PROCURACION||||396038|||2024||10060|15/07/2024|TR||LEVE|0|396038|414413
1|2024|865732|26/8/24|Tr�nsito|||LEVE|Juicio 000000141556 Saldo: $62.400,80|||||PROCURACION||||396894|||2024||3033|02/07/2024|TR||LEVE|0|396894|415197
1|2024|865734|26/8/24|Tr�nsito|||LEVE|Juicio 000000141557 Saldo: $62.400,80|||||PROCURACION||||396897|||2024||4647|04/07/2024|TR||LEVE|0|396897|415201
1|2024|865736|26/8/24|Tr�nsito|||LEVE|Juicio 000000141558 Saldo: $62.400,80|||||PROCURACION||||396915|||2024||5942|05/07/2024|TR||LEVE|0|396915|415203
1|2024|865737|26/8/24|Tr�nsito|||LEVE|Juicio 000000141559 Saldo: $62.400,80|||||PROCURACION||||396918|||2024||6156|06/07/2024|TR||LEVE|0|396918|415207
1|2024|866389|18/9/24|Tr�nsito|||LEVE|Juicio 000000141641 Saldo: $60.019,60|||||PROCURACION||||404553|||2024||5329|04/07/2024|TR||LEVE|0|404553|422787
1|2024|866390|18/9/24|Tr�nsito|||LEVE|Juicio 000000141642 Saldo: $60.019,60|||||PROCURACION||||404554|||2024||5591|05/07/2024|TR||LEVE|0|404554|422788
1|2024|866391|18/9/24|Tr�nsito|||LEVE|Juicio 000000141643 Saldo: $60.019,60|||||PROCURACION||||404555|||2024||9497|13/07/2024|TR||LEVE|0|404555|422789
1|2024|866392|18/9/24|Tr�nsito|||LEVE|Juicio 000000141644 Saldo: $60.019,60|||||PROCURACION||||404556|||2024||10191|15/07/2024|TR||LEVE|0|404556|422790
1|2024|866393|18/9/24|Tr�nsito|||LEVE|Juicio 000000141645 Saldo: $60.408,60|||||PROCURACION||||404557|||2024||28879|13/08/2024|TR||LEVE|0|404557|422791
1|2024|866395|18/9/24|Tr�nsito|||LEVE|Juicio 000000141646 Saldo: $60.408,60|||||PROCURACION||||404559|||2024||27546|12/08/2024|TR||LEVE|0|404559|422793
1|2024|866397|18/9/24|Tr�nsito|||LEVE|Juicio 000000141647 Saldo: $60.408,60|||||PROCURACION||||404561|||2024||26936|10/08/2024|TR||LEVE|0|404561|422795
1|2024|866399|18/9/24|Tr�nsito|||LEVE|Juicio 000000141648 Saldo: $60.408,60|||||PROCURACION||||404563|||2024||26344|09/08/2024|TR||LEVE|0|404563|422797
1|2024|866402|18/9/24|Tr�nsito|||LEVE|Juicio 000000141649 Saldo: $60.408,60|||||PROCURACION||||404566|||2024||26071|08/08/2024|TR||LEVE|0|404566|422799
1|2024|866406|18/9/24|Tr�nsito|||LEVE|Juicio 000000141650 Saldo: $60.019,60|||||PROCURACION||||404570|||2024||20921|01/08/2024|TR||LEVE|0|404570|422804
1|2024|866407|18/9/24|Tr�nsito|||LEVE|Juicio 000000141651 Saldo: $60.019,60|||||PROCURACION||||404571|||2024||21772|02/08/2024|TR||LEVE|0|404571|422805
1|2024|866408|18/9/24|Tr�nsito|||LEVE|Juicio 000000141652 Saldo: $60.019,60|||||PROCURACION||||404572|||2024||22464|03/08/2024|TR||LEVE|0|404572|422806
1|2024|866409|18/9/24|Tr�nsito|||LEVE|Juicio 000000141653 Saldo: $60.408,60|||||PROCURACION||||404573|||2024||23214|05/08/2024|TR||LEVE|0|404573|422807
1|2024|866410|18/9/24|Tr�nsito|||LEVE|Juicio 000000141654 Saldo: $60.408,60|||||PROCURACION||||404574|||2024||24077|06/08/2024|TR||LEVE|0|404574|422808
1|2024|866411|18/9/24|Tr�nsito|||LEVE|Juicio 000000141655 Saldo: $60.408,60|||||PROCURACION||||404575|||2024||25052|07/08/2024|TR||LEVE|0|404575|422809
1|2024|866414|19/9/24|Tr�nsito|||LEVE|Juicio 000000141657 Saldo: $60.408,60|||||PROCURACION||||404633|||2024||29412|14/08/2024|TR||LEVE|0|404633|422887
1|2024|866588|1/10/24|Tr�nsito|||LEVE|Juicio 000000141664 Saldo: $60.019,60|||||PROCURACION||||406454|||2024||2097|01/07/2024|TR||LEVE|0|406454|424748
1|2024|866591|1/10/24|Tr�nsito|||LEVE|Juicio 000000141665 Saldo: $60.019,60|||||PROCURACION||||406533|||2024||2108|01/07/2024|TR||LEVE|0|406533|424812
1|2024|866634|1/10/24|Tr�nsito|||LEVE|Juicio 000000141670 Saldo: $60.019,60|||||PROCURACION||||407013|||2024||2123|01/07/2024|TR||LEVE|0|407013|425287
1|2024|866719|4/10/24|Tr�nsito|||LEVE|Juicio 000000141675 Saldo: $60.019,60|||||PROCURACION||||408693|||2024||2941|02/07/2024|TR||LEVE|0|408693|426967
1|2024|866721|4/10/24|Tr�nsito|||LEVE|Juicio 000000141676 Saldo: $60.019,60|||||PROCURACION||||408713|||2024||2946|02/07/2024|TR||LEVE|0|408713|427007
1|2024|866733|4/10/24|Tr�nsito|||LEVE|Juicio 000000141678 Saldo: $60.019,60|||||PROCURACION||||408793|||2024||2957|02/07/2024|TR||LEVE|0|408793|427019
1|2024|866737|4/10/24|Tr�nsito|||LEVE|Juicio 000000141680 Saldo: $60.019,60|||||PROCURACION||||408816|||2024||2970|02/07/2024|TR||LEVE|0|408816|427031
1|2024|866743|4/10/24|Tr�nsito|||LEVE|Juicio 000000141681 Saldo: $60.019,60|||||PROCURACION||||408834|||2024||2976|02/07/2024|TR||LEVE|0|408834|427048
1|2024|866747|4/10/24|Tr�nsito|||LEVE|Juicio 000000141682 Saldo: $60.019,60|||||PROCURACION||||408873|||2024||2984|02/07/2024|TR||LEVE|0|408873|427087
1|2024|866749|7/10/24|Tr�nsito|||LEVE|Juicio 000000141683 Saldo: $60.019,60|||||PROCURACION||||408915|||2024||2989|02/07/2024|TR||LEVE|0|408915|427129
