ACTA_ANIO|ACTA_NUMERO
2024|7779
2024|1254
2024|465
2024|11354
2024|7784
2024|3997
2024|8538
2024|23125
2024|23102
2024|10590
2024|8324
2024|6749
2024|4152
2024|5257
2024|2812
2024|24763
2024|2449
2024|25628
2024|28971
2024|29489
2024|10519
2024|21285
2024|2599
2024|3901
2024|5790
2024|5581
2024|10353
2024|6265
2024|10053
2024|24202
2024|2138
2024|4575
2024|2106
2024|7029
2024|2141
2024|10128
2024|23137
2024|27806
2024|54574
2024|2935
2024|3014
2024|3018
2024|3031
2024|2164
2024|3037
2024|10324
2024|3065
2024|3068
2024|3096
2024|3097
2024|3112
2024|3135
2024|3142
2024|29300
2024|40695
2024|2956
2024|3147
2024|3161
2024|3165
2024|3180
2024|3197
2024|3214
2024|3220
2024|3239
2024|3267
2024|3279
2024|3282
2024|3294
2024|3298
2024|10232
2024|4704
2024|3308
2024|59917
2024|3339
2024|3349
2024|3365
2024|3376
2024|3380
2024|2208
2024|2215
2024|2216
2024|3398
2024|3418
2024|3450
2024|3451
2024|6130
2024|6791
2024|8603
2024|20858
2024|25861
2024|27070
2024|29581
2024|40541
2024|41871
2024|44688
2024|45076
2024|45736
2024|46455
2024|55584
2024|56892
2024|3498
2024|3518
2024|43767
2024|30213
2024|39777
2024|3539
2024|3541
2024|3549
2024|3564
2024|3569
2024|5073
2024|4735
2024|6568
2024|23335
2024|25152
2024|10207
2024|39850
2024|7581
2024|3221
2024|3591
2024|3598
2024|3603
2024|3624
2024|3630
2024|3649
2024|77144
2024|74554
2024|2724
2024|2218
2024|2231
2024|2258
2024|7513
2024|8084
2024|8748
2024|55802
2024|2306
2024|2352
2024|2398
2024|2400
2024|2434
2024|2440
2024|2455
2024|2458
2024|2460
2024|2478
2024|2482
2024|73916
2024|3875
2024|6561
2024|7448
2024|10025
2024|24677
2024|28798
2024|29420
2024|30861
2024|39580
2024|45951
2024|54874
2024|56361
2024|70873
2024|74780
2024|5875
2024|2521
2024|2523
2024|2539
2024|2573
2024|2587
2024|2595
2024|2615
2024|2633
2024|2644
2024|2648
2024|2670
2024|2701
2024|2707
2024|2710
2024|2762
2024|2777
2024|2783
2024|2799
2024|2810
2024|2821
2024|2824
2024|2856
2024|2862
2024|2874
2024|2890
2024|2917
2024|2931
2024|3824
2024|3842
2024|3868
2024|3880
2024|3887
2024|3915
2024|3923
2024|3940
2024|3980
2024|4004
2024|4024
2024|4026
2024|4032
2024|4073
2024|4092
2024|4102
2024|4155
2024|4163
2024|4177
2024|4224
2024|4231
2024|4263
2024|4291
2024|4316
2024|4320
2024|4337
2024|4375
2024|4389
2024|4390
2024|4404
2024|4432
2024|4438
2024|3702
2024|4461
2024|4495
2024|4499
2024|4504
2024|4510
2024|4511
2024|4534
2024|4552
2024|4569
2024|4587
2024|4591
2024|4596
2024|4660
2024|4694
2024|4706
2024|4710
2024|4800
2024|4804
2024|4831
2024|4837
2024|4839
2024|4867
2024|4869
2024|4881
2024|4891
2024|4892
2024|4903
2024|4912
2024|4917
2024|4926
2024|4937
2024|4943
2024|4951
2024|4955
2024|4979
2024|5051
2024|5082
2024|5092
2024|5110
2024|5142
2024|5162
2024|5171
2024|5172
2024|5180
2024|5213
2024|5226
2024|5248
2024|5249
2024|5250
2024|5265
2024|5284
2024|5304
2024|5332
2024|5364
2024|5365
2024|5366
2024|5371
2024|5383
2025|71799
2025|45678
2024|5418
2024|5419
2024|5478
2024|5506
2024|5539
2024|5553
2024|5560
2024|5598
2024|5601
2024|5603
2024|5620
2024|5629
2024|5635
2024|5651
2024|5661
2024|5663
2024|5664
2024|5705
2024|56305
2024|96825
2024|5717
2024|5737
2024|5764
2024|5784
2024|5788
2024|5791
2024|5806
2024|5829
2024|5841
2024|5845
2024|5848
2024|5865
2024|5868
2024|5880
2024|5884
2024|5906
2024|8561
2024|57138
2024|5921
2024|5929
2024|5959
2024|5990
2024|6010
2024|6022
2025|39965
2024|6028
2024|6063
2024|6087
2024|6099
2024|6116
2024|6117
2024|6128
2024|6163
2024|6182
2024|6269
2024|6290
2024|6303
2024|6316
2024|6346
2024|6364
2024|6377
2024|6391
2024|6477
2024|6485
2024|6513
2024|6539
2024|6558
2024|6576
2024|6585
2024|6665
2024|6666
2024|6673
2024|6684
2024|6757
2024|6781
2024|6792
2024|6797
2024|6799
2024|6815
2024|6817
2024|6884
2024|6892
2024|6894
2024|6902
2024|20975
2024|26434
2024|39052
2024|55028
2024|55598
2024|70238
2024|87951
2024|6918
2024|6921
2024|6932
2024|6946
2024|6949
2024|6999
2024|7011
2024|7057
2024|7066
2024|7080
2024|7105
2024|7147
2024|7153
2024|7182
2024|7195
2024|7324
2024|7320
2024|7378
2024|7398
2024|7412
2024|7427
2024|7440
2024|7467
2024|7470
2024|7507
2024|7526
2024|7531
2024|7546
2024|7549
2024|7575
2024|7604
2024|7637
2024|7642
2024|7657
2024|7683
2024|7716
2024|7773
2024|7804
2024|7827
2024|7850
2024|7872
2024|7875
2024|7937
2024|7941
2024|8008
2024|8013
2024|8017
2024|8019
2024|8042
2024|8076
2024|8100
2024|8182
2024|8340
2024|8366
2024|8384
2024|8442
2024|8491
2024|8540
2024|8548
2024|8569
2024|8596
2024|8610
2024|8638
2024|8643
2024|8705
2025|110678
2025|109314
2024|45929
2024|72307
2025|99121
2024|8786
2024|21736
2024|25847
2024|27591
2024|26781
2024|28526
2024|29578
2024|39661
2024|44137
2024|45691
2024|54911
2024|8733
2024|8737
2024|8752
2024|8757
2024|8758
2024|8774
2024|8790
2024|74793
2024|7618
2024|8281
2024|70315
2024|28146
2024|8815
2024|4749
2024|39502
2024|41618
2024|45200
2024|55789
2024|55597
2024|72612
2024|73972
2024|84789
2024|86346
2024|89858
2024|8869
2024|8900
2024|25394
2024|45298
2024|2155
2024|2629
2024|2963
2024|3116
2024|3186
2024|3199
2024|3210
2024|3472
2024|3478
2024|3568
2024|3587
2024|3652
2024|3781
2024|3813
2024|4118
2024|4377
2024|4450
2024|4518
2024|4965
2024|5170
2024|5291
2024|5335
2024|5549
2024|5646
2024|5986
2024|6217
2024|6340
2024|6927
2024|7041
2024|7287
2024|7680
2024|7815
2024|7952
2024|7963
2024|8508
2024|8522
2024|8533
2024|8613
2024|8724
2024|8857
2024|8915
2024|8939
2024|8969
2024|8983
2024|8998
2024|9013
2024|9025
2024|9027
2024|9133
2024|9140
2024|9192
2024|9221
2024|9280
2024|9305
2024|9323
2024|9377
2024|9425
2024|9430
2024|9489
2024|9506
2024|9522
2024|9528
2024|9550
2024|9554
2024|9561
2024|9589
2024|9593
2024|9606
2024|9611
2024|9633
2024|9677
2024|9702
2024|9721
2024|9729
2024|9739
2024|9770
2024|9776
2024|9820
2024|9848
2024|9949
2024|9992
2024|9998
2024|10012
2024|10035
2024|10037
2024|10040
2024|10072
2024|10075
2024|10117
2024|10131
2024|10138
2024|10155
2024|10184
2024|10326
2024|10364
2024|10396
2024|10407
2024|10438
2024|10447
2024|10448
2024|10494
2024|10504
2024|10543
2024|10559
2024|10591
2024|10693
2024|10719
2024|10751
2024|10772
2024|20574
2024|20717
2024|20737
2024|20752
2024|20755
2024|20771
2024|20809
2024|20810
2024|20883
2024|20884
2024|20915
2024|20924
2024|20970
2024|20980
2024|20982
2024|21000
2024|21032
2024|21033
2024|21048
2024|21053
2024|21100
2024|21143
2024|21163
2024|21184
2024|21190
2024|21235
2024|21300
2024|21337
2024|21374
2024|21490
2024|21617
2024|21645
2024|21690
2024|21731
2024|21834
2024|21869
2024|21921
2024|21924
2024|22096
2024|22113
2024|22165
2024|22197
2024|22293
2024|22323
2024|22353
2024|22377
2024|22418
2024|22440
2024|22527
2024|22535
2024|22705
2024|22809
2024|22977
2024|23044
2024|23072
2024|23108
2024|23164
2024|23168
2024|23184
2024|23276
2024|23354
2024|23447
2024|23460
2024|23480
2024|23520
2024|23636
2024|24014
2024|24109
2024|24225
2024|24274
2024|24361
2024|24544
2024|24587
2024|24657
2024|24742
2024|24761
2024|24826
2024|24892
2024|25011
2024|25068
2024|25171
2024|25291
2024|25377
2024|25421
2024|25436
2024|25463
2024|25527
2024|25536
2024|25569
2024|25771
2024|25889
2024|25991
2024|26133
2024|26191
2024|26220
2024|26385
2024|26408
2024|26436
2024|26473
2024|26721
2024|26745
2024|26761
2024|26853
2024|26900
2024|26987
2024|26994
2024|27045
2024|27066
2024|27075
2024|27212
2024|27288
2024|27465
2024|27476
2024|27495
2024|27502
2024|27542
2024|27735
2024|27987
2024|28033
2024|28063
2024|28094
2024|28134
2024|28135
2024|28148
2024|28402
2024|28439
2024|28474
2024|28483
2024|28485
2024|28597
2024|28744
2024|28813
2024|28830
2024|28859
2024|28890
2024|28970
2024|29116
2024|29245
2024|29348
2024|29354
2024|29413
2024|29543
2024|29643
2024|29750
2024|29833
2024|29903
2024|30032
2024|30036
2024|30059
2024|30173
2024|30392
2024|30398
2024|30474
2024|30565
2024|30719
2024|30763
2024|30778
2024|30956
2024|30967
2024|31007
2024|54999
2024|55155
2024|55333
2024|55435
2024|55542
2024|55558
2024|55764
2024|55807
2024|56118
2024|56168
2024|56218
2024|56333
2024|56359
2024|56471
2024|56604
2024|56722
2024|56912
2024|57071
2024|57120
2024|57158
2024|57338
2024|57371
2024|57452
2024|57471
2024|57501
2024|57509
2024|57723
2024|57940
2024|58091
2024|58191
2024|58256
2024|58322
2024|58346
2024|58610
2024|58677
2024|58701
2024|58930
2024|59098
2024|59124
2024|59141
2024|59169
2024|59343
2024|59511
2024|59522
2024|38839
2024|59563
2024|59584
2024|38984
2024|59726
2024|39114
2024|59742
2024|39260
2024|59866
2024|39403
2024|39431
2024|39450
2024|39604
2024|39754
2024|39781
2024|39823
2024|39826
2024|39957
2024|39979
2024|39994
2024|40534
2024|40555
2024|40820
2024|40940
2024|41024
2024|41130
2024|41203
2024|41207
2024|41599
2024|41927
2024|42040
2024|42219
2024|42278
2024|42283
2024|42548
2024|42840
2024|42973
2024|43128
2024|43164
2024|43289
2024|43376
2024|43469
2024|43635
2024|43675
2024|43737
2024|43870
2024|43924
2024|44219
2024|44424
2024|44522
2024|44612
2024|44674
2024|44738
2024|44817
2024|44951
2024|45061
2024|45140
2024|45668
2024|45732
2024|45828
2024|45872
2024|45911
2024|45954
2024|46053
2024|46090
2024|46173
2024|46226
2024|46481
2024|46606
2024|69082
2024|69098
2024|69138
2024|69144
2024|69339
2024|69631
2024|69647
2024|69682
2024|70024
2024|70144
2024|70329
2024|70439
2024|70590
2024|70594
2024|70805
2024|70812
2024|70964
2024|71050
2024|71075
2024|71226
2024|71258
2024|71313
2024|71319
2024|71379
2024|71391
2024|71461
2024|71482
2024|71553
2024|71613
2024|71669
2024|71716
2024|71775
2024|71855
2024|71872
2024|72074
2024|72219
2024|72309
2024|72431
2024|72616
2024|72735
2024|72761
2024|72884
2024|72911
2024|72913
2024|72943
2024|73029
2024|73142
2024|73378
2024|73411
2024|73744
2024|73943
2024|73956
2024|74364
2024|74629
2024|74833
2024|74866
2024|74981
2024|75029
2024|75090
2024|75241
2024|75268
2024|75370
2024|54266
2024|54273
2024|75417
2024|75473
2024|54419
2024|54621
2024|54774
2024|75764
2024|54873
2024|76078
2024|76473
2024|76613
2024|76649
2024|76935
2024|76940
2024|76962
2024|77007
2024|77344
2024|83482
2024|83622
2024|83710
2024|83943
2024|83951
2024|83963
2024|84187
2024|84298
2024|84330
2024|84393
2024|84565
2024|84712
2024|84766
2024|84811
2024|85358
2024|85481
2024|85541
2024|85619
2024|85640
2024|85797
2024|85879
2024|85947
2024|85974
2024|86146
2024|86242
2024|86248
2024|86405
2024|86617
2024|86726
2024|86728
2024|86795
2024|86882
2024|86971
2024|86973
2024|87049
2024|87100
2024|87113
2024|87314
2024|87336
2024|87434
