ACTA_NUMERO|CAUSA_NUMERO|CAUSA_AÑO
236498|998452|2025
236499|998453|2025
236500|998454|2025
236502|998455|2025
236505|998457|2025
236507|998458|2025
236509|998460|2025
236511|998461|2025
236513|998462|2025
236514|998463|2025
236515|998464|2025
236519|998467|2025
236520|998468|2025
236522|998470|2025
236524|998472|2025
236526|998474|2025
236528|998475|2025
236534|998478|2025
236536|998479|2025
236537|998480|2025
236540|998482|2025
236541|998483|2025
236542|998484|2025
236548|998486|2025
236549|998487|2025
236550|998488|2025
236551|998489|2025
236552|998490|2025
236553|998491|2025
236554|998492|2025
236555|998493|2025
236556|998494|2025
236557|998495|2025
236558|998496|2025
236559|998497|2025
236564|998498|2025
236566|998500|2025
236568|998501|2025
236569|998502|2025
236572|998503|2025
236573|998504|2025
236574|998505|2025
236576|998506|2025
236578|998508|2025
236579|998509|2025
236580|998510|2025
236581|998511|2025
236582|998512|2025
236583|998513|2025
236585|998514|2025
236591|998516|2025
236600|998518|2025
236601|998519|2025
236602|998520|2025
236603|998521|2025
236604|998522|2025
236605|998523|2025
236607|998524|2025
236609|998526|2025
236610|998527|2025
236611|998528|2025
236612|998529|2025
236613|998530|2025
236615|998531|2025
236617|998532|2025
236619|998533|2025
236623|998534|2025
236624|998535|2025
236625|998536|2025
236626|998537|2025
236627|998538|2025
236628|998539|2025
236630|998541|2025
236631|998542|2025
236633|998544|2025
236635|998545|2025
236646|998546|2025
236647|998547|2025
236648|998548|2025
236649|998549|2025
236650|998550|2025
236651|998551|2025
236653|998552|2025
236654|998553|2025
236655|998554|2025
236657|998555|2025
236658|998556|2025
236660|998558|2025
236662|998559|2025
236664|998560|2025
236665|998561|2025
236668|998563|2025
236670|998565|2025
236673|998566|2025
236683|998571|2025
236686|998572|2025
236688|998573|2025
236692|998575|2025
236693|998576|2025
236695|998577|2025
236699|998578|2025
236703|998581|2025
236708|998582|2025
236709|998583|2025
236711|998584|2025
236713|998585|2025
236714|998586|2025
236715|998587|2025
236720|998590|2025
236722|998591|2025
236724|998592|2025
236725|998593|2025
236726|998594|2025
236728|998595|2025
236729|998596|2025
236732|998598|2025
236733|998599|2025
236735|998601|2025
236736|998602|2025
236739|998605|2025
236740|998606|2025
236741|998607|2025
236745|998609|2025
236746|998610|2025
236747|998611|2025
236748|998612|2025
236749|998613|2025
236750|998614|2025
236752|998615|2025
236754|998617|2025
236756|998618|2025
236760|998620|2025
236763|998621|2025
236765|998622|2025
236766|998623|2025
236767|998624|2025
236769|998625|2025
236776|998628|2025
236777|998629|2025
236781|998630|2025
236782|998631|2025
236783|998632|2025
236784|998633|2025
236785|998634|2025
236786|998635|2025
236788|998637|2025
236791|998640|2025
236792|998641|2025
236795|998643|2025
236798|998646|2025
236799|998647|2025
236800|998648|2025
236804|998649|2025
236807|998650|2025
236812|998652|2025
236813|998653|2025
236816|998655|2025
236817|998656|2025
236818|998657|2025
236820|998658|2025
236826|998659|2025
236828|998660|2025
236833|998661|2025
236834|998662|2025
236835|998663|2025
236837|998664|2025
236838|998665|2025
236843|998666|2025
236845|998667|2025
236847|998668|2025
236848|998669|2025
236849|998670|2025
236853|998672|2025
236854|998673|2025
236855|998674|2025
236856|998675|2025
236857|998676|2025
236859|998677|2025
236860|998678|2025
236861|998679|2025
236862|998680|2025
236866|998682|2025
236867|998683|2025
236868|998684|2025
236870|998685|2025
236876|998686|2025
236877|998687|2025
236879|998688|2025
236880|998689|2025
236883|998690|2025
236888|998692|2025
236898|998693|2025
236899|998694|2025
236901|998696|2025
236902|998697|2025
236904|998699|2025
236905|998700|2025
236908|998703|2025
236909|998704|2025
236910|998705|2025
236911|998706|2025
236913|998707|2025
236914|998708|2025
236915|998709|2025
236917|998711|2025
236923|998712|2025
236924|998713|2025
236926|998714|2025
236930|998715|2025
236931|998716|2025
236932|998717|2025
236935|998718|2025
236936|998719|2025
236939|998720|2025
236942|998721|2025
236944|998722|2025
236946|998723|2025
236951|998725|2025
236954|998726|2025
236955|998727|2025
236956|998728|2025
236957|998729|2025
236958|998730|2025
236959|998731|2025
236960|998732|2025
236963|998733|2025
236964|998734|2025
236965|998735|2025
236966|998736|2025
236969|998737|2025
236972|998738|2025
236976|998739|2025
236977|998740|2025
236978|998741|2025
236979|998742|2025
236981|998743|2025
236983|998745|2025
236989|998748|2025
236991|998749|2025
236993|998750|2025
236994|998751|2025
236995|998752|2025
236996|998753|2025
236998|998754|2025
236999|998755|2025
237000|998756|2025
237002|998757|2025
237004|998758|2025
237006|998759|2025
237007|998760|2025
237008|998761|2025
237013|998763|2025
235864|998112|2025
235867|998114|2025
235869|998115|2025
235871|998116|2025
235874|998117|2025
235877|998118|2025
235878|998119|2025
235882|998120|2025
235885|998121|2025
235886|998122|2025
235888|998123|2025
235889|998124|2025
235891|998125|2025
235893|998126|2025
235896|998127|2025
235898|998128|2025
235899|998129|2025
235904|998131|2025
235905|998132|2025
235906|998133|2025
235907|998134|2025
235912|998137|2025
235917|998139|2025
235918|998140|2025
235919|998141|2025
235928|998143|2025
235929|998144|2025
235930|998145|2025
235931|998146|2025
235932|998147|2025
235934|998148|2025
235938|998151|2025
235942|998153|2025
235943|998154|2025
235945|998156|2025
235949|998157|2025
235950|998158|2025
235951|998159|2025
235953|998160|2025
235957|998161|2025
235958|998162|2025
235960|998163|2025
235961|998164|2025
235962|998165|2025
235964|998166|2025
235965|998167|2025
235967|998169|2025
235971|998170|2025
235973|998171|2025
235974|998172|2025
235975|998173|2025
235976|998174|2025
235977|998175|2025
235986|998176|2025
235987|998177|2025
235988|998178|2025
235989|998179|2025
235990|998180|2025
235995|998183|2025
235996|998184|2025
235997|998185|2025
235999|998186|2025
236000|998187|2025
236001|998188|2025
236003|998189|2025
236004|998190|2025
236005|998191|2025
236006|998192|2025
236008|998194|2025
236009|998195|2025
236010|998196|2025
236011|998197|2025
236012|998198|2025
236017|998201|2025
236023|998203|2025
236026|998204|2025
236028|998206|2025
236030|998207|2025
236034|998209|2025
236036|998210|2025
236038|998211|2025
236039|998212|2025
236040|998213|2025
236041|998214|2025
236043|998215|2025
236044|998216|2025
236046|998217|2025
236047|998218|2025
236049|998220|2025
236051|998221|2025
236052|998222|2025
236053|998223|2025
236055|998224|2025
236056|998225|2025
236057|998226|2025
236060|998228|2025
236061|998229|2025
236062|998230|2025
236064|998231|2025
236065|998232|2025
236066|998233|2025
236068|998235|2025
236069|998236|2025
236073|998238|2025
236075|998240|2025
236077|998241|2025
236078|998242|2025
236080|998243|2025
236082|998244|2025
236083|998245|2025
236086|998247|2025
236087|998248|2025
236092|998249|2025
236097|998250|2025
236098|998251|2025
236100|998252|2025
236104|998253|2025
236108|998254|2025
236110|998255|2025
236112|998256|2025
236114|998257|2025
236115|998258|2025
236116|998259|2025
236123|998260|2025
236124|998261|2025
236125|998262|2025
236126|998263|2025
236127|998264|2025
236128|998265|2025
236129|998266|2025
236131|998267|2025
236134|998268|2025
236137|998269|2025
236140|998270|2025
236141|998271|2025
236142|998272|2025
236143|998273|2025
236145|998274|2025
236146|998275|2025
236148|998276|2025
236150|998277|2025
236151|998278|2025
236152|998279|2025
236153|998280|2025
236158|998282|2025
236159|998283|2025
236160|998284|2025
236162|998285|2025
236169|998288|2025
236171|998289|2025
236173|998291|2025
236174|998292|2025
236175|998293|2025
236178|998295|2025
236179|998296|2025
236180|998297|2025
236181|998298|2025
236185|998300|2025
236187|998301|2025
236189|998303|2025
236191|998304|2025
236194|998305|2025
236200|998307|2025
236203|998309|2025
236204|998310|2025
236208|998312|2025
236209|998313|2025
236213|998314|2025
236215|998315|2025
236222|998317|2025
236225|998318|2025
236227|998319|2025
236228|998320|2025
236229|998321|2025
236235|998323|2025
236238|998324|2025
236240|998325|2025
236241|998326|2025
236244|998328|2025
236245|998329|2025
236246|998330|2025
236247|998331|2025
236249|998332|2025
236253|998334|2025
236261|998335|2025
236262|998336|2025
236266|998339|2025
236268|998341|2025
236269|998342|2025
236272|998343|2025
236273|998344|2025
236274|998345|2025
236284|998346|2025
236286|998347|2025
236287|998348|2025
236288|998349|2025
236289|998350|2025
236293|998352|2025
236295|998353|2025
236296|998354|2025
236297|998355|2025
236299|998356|2025
236301|998357|2025
236304|998358|2025
236316|998361|2025
236319|998362|2025
236325|998365|2025
236326|998366|2025
236327|998367|2025
236328|998368|2025
236329|998369|2025
236331|998370|2025
236334|998373|2025
236336|998374|2025
236338|998376|2025
236339|998377|2025
236342|998378|2025
236345|998379|2025
236347|998380|2025
236348|998381|2025
236349|998382|2025
236357|998385|2025
236358|998386|2025
236359|998387|2025
236363|998388|2025
236367|998390|2025
236368|998391|2025
236372|998393|2025
236373|998394|2025
236375|998395|2025
236376|998396|2025
236377|998397|2025
236379|998398|2025
236380|998399|2025
236382|998400|2025
236386|998401|2025
236389|998402|2025
236396|998404|2025
236398|998405|2025
236401|998406|2025
236402|998407|2025
236404|998408|2025
236406|998409|2025
236407|998410|2025
236413|998414|2025
236425|998418|2025
236428|998419|2025
236430|998420|2025
236434|998421|2025
236437|998422|2025
236439|998423|2025
236440|998424|2025
236442|998425|2025
236444|998426|2025
236445|998427|2025
236446|998428|2025
236448|998429|2025
236449|998430|2025
236450|998431|2025
236451|998432|2025
236452|998433|2025
236456|998435|2025
236457|998436|2025
236461|998437|2025
236462|998438|2025
236464|998439|2025
236467|998441|2025
236470|998443|2025
236471|998444|2025
236477|998446|2025
236482|998448|2025
236491|998451|2025
235071|997700|2025
235074|997701|2025
235075|997702|2025
235077|997703|2025
235084|997704|2025
235085|997705|2025
235095|997708|2025
235097|997709|2025
235098|997710|2025
235099|997711|2025
235100|997712|2025
235102|997713|2025
235103|997714|2025
235107|997716|2025
235110|997718|2025
235114|997720|2025
235116|997721|2025
235117|997722|2025
235123|997725|2025
235128|997727|2025
235134|997729|2025
235136|997730|2025
235138|997732|2025
235140|997733|2025
235142|997734|2025
235148|997736|2025
235152|997738|2025
235157|997741|2025
235160|997743|2025
235161|997744|2025
235162|997745|2025
235163|997746|2025
235164|997747|2025
235167|997749|2025
235169|997750|2025
235176|997752|2025
235178|997753|2025
235179|997754|2025
235184|997756|2025
235185|997757|2025
235187|997758|2025
235188|997759|2025
235189|997760|2025
235191|997761|2025
235192|997762|2025
235193|997763|2025
235194|997764|2025
235195|997765|2025
235198|997766|2025
235199|997767|2025
235200|997768|2025
235201|997769|2025
235202|997770|2025
235204|997772|2025
235209|997774|2025
235211|997775|2025
235214|997777|2025
235215|997778|2025
235216|997779|2025
235221|997781|2025
235222|997782|2025
235223|997783|2025
235226|997784|2025
235228|997786|2025
235231|997787|2025
235232|997788|2025
235233|997789|2025
235234|997790|2025
235236|997791|2025
235239|997793|2025
235243|997794|2025
235244|997795|2025
235245|997796|2025
235248|997797|2025
235250|997799|2025
235251|997800|2025
235254|997802|2025
235258|997804|2025
235259|997805|2025
235260|997806|2025
235262|997807|2025
235263|997808|2025
235268|997809|2025
235269|997810|2025
235270|997811|2025
235271|997812|2025
235272|997813|2025
235276|997814|2025
235277|997815|2025
235279|997816|2025
235282|997817|2025
235284|997818|2025
235286|997819|2025
235287|997820|2025
235289|997821|2025
235290|997822|2025
